id,Titel,Voornaam,Patroniem en tussenvoegsel,Achternaam,geslacht,Geportretteerd op,Geportretteerd op genormaliseerd,regent / kerkmeester,regent / kerkmeester genormaliseerd,lid/officier schutterij (vaandrigs vanaf 1650),lid/officier schutterij (vaandrigs vanaf 1650) genormaliseerd,functie in stadsregering,functie in stadsregering genormaliseerd,Elias,Dudok van Heel,Doop/geboren,Doop/geboren genormaliseerd,Doop/geboren te,DTB dopen,Begraven/overleden,Begraven/overleden genormaliseerd,Begraven/overleden te,DTB begraven,Getrouwd met,Getrouwd met genormaliseerd,Ondertrouw (+ leeftijd),Ondertrouw (+ leeftijd) genormaliseerd,DTB ondertrouw,Adres,Denominatie,Beroep,kohier 1585,kohier 1631,kohier 1674,Kohier 1742,Archief Hart,Associatie,Opmerkingen,Wikidata
62,,Sybrant,,Bam,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 15),S. 45,1546 - km. O.K. 1546?,km. O.K. 1546-01-01|1546-12-31/1546-01-01|1546-12-31,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
63,,Willem,,Bitter,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 16),S. 45,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
64,,Pieter,Martsz,Kodde,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 17),S. 45,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
65,,Willem,van,Campen,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 18),S. 45,,,,,,,"dl. 1, p. 86 ?",,1552,1552-01-01/1552-12-31,,,1613 (voor),?/1612-12-31,,,Oetgen Claesdr,Oetgen Claesdr (?),,,,"O.Z. Achterburgwal (1585 OZ W. 3, 1595)",,wijnkoper,004 (OZ f. 46),,,,,,,
66,,Pieter,Claesz,Boer,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 19),S. 45,,,,,,,_,,,,,,1602 (na),1603-01-01/?,,,Lysbeth Hendriks,Lysbeth Hendriks (?),1572,1572,,Nes Oostzijde (1585 OZ W. 1),,procureur (1585: 'lieutenant'),004 (OZ f. 11),,,,,,,
67,,Hendrick,Winrixz van,Marcken,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 20),S. 45,,,1567 - kap. 1567,kap. ? 1567-01-01|1567-12-31/1567-01-01|1567-12-31,1578-85 R.; 1578 Th.; 1579-84 C.E.,R. 1578-01-01|1578-12-31/1585-01-01|1585-12-31; Th. 1578-01-01|1578-12-31/1578-01-01|1578-12-31; C.E. 1579-01-01|1579-12-31/1584-01-01|1584-12-31,"004 - dl. 1, p. 8 ",,,,,,,,,,,,,,,,,zeepzieder,_,,,,,,,
68,,Gerret ,Jacobsz,Verwer,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 21),S. 45,,,,,,,_,,,,,,,,,,,,,,,,,lakenverver?,_,,,,,,,
69,,Fredrik,,Fredriksz,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 22),S. 45,,,,,,,"dl. 1, p. 251 ?",,,,,,1597,1597-01-01/1597-12-31,Amsterdam,,Pietertgen Woutersdr Schaeck,Pietertgen Woutersdr Schaeck (?),,,,Dam (1585 NZ W. 4),,kruidenier en apotheker,_,,,,,,,
70,,Laurens,Jacobsz,Reael,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 23),S. 45,"1583 - Bwh 1583, 1584",Bwh 1583-01-01|1583-12-31/1584-01-01|1584-12-31,"1580 - luit. W. III 1580, kap. W. II [= NZ W. II] 1585; kol. 1589-1601",luit. W. III 1580-01-01|1580-12-31/1580-01-01|1580-12-31; kap. W. II 1585-01-01|1585-12-31/1585-01-01|1585-12-31; kol. ? 1589-01-01|1589-12-31/1601-01-01|1601-12-31,"1582, … Sch.; 1583-1601 R.; …",Sch. 1582-01-01|1582-12-31/1582-01-01|1582-12-31; R. 1583-01-01|1583-12-31/1601-01-01|1601-12-31,"044 - dl. 1, p. 136 ",,1536,1536-01-01/1536-12-31,,,1601,1601-01-01/1601-12-31,Middelburg,,Geerte Pietersdr,Geerte Pietersdr (?),,,,Damrak (1585 NZ W. 2),,korenkoper,020 (NZ f. 51),,,,,,,Q57151858
71,,Cornelis,Pietersz,Hooft,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 24),S. 45,,,,,"1582, 83, 86 Sch. ; 1584-1626 R.; …; 1588, 91, 94, 96, 97, 1601, 02, 04, 05, 07, 08, 10 B.",Sch. 1582-01-01|1582-12-31/1583-01-01|1583-12-31; Sch. 1586-01-01|1586-12-31/1586-01-01|1586-12-31; R. 1584-01-01|1584-12-31/1626-01-01|1626-12-31; B. 1588-01-01|1588-12-31/1588-01-01|1588-12-31; B. 1591-01-01|1591-12-31/1591-01-01|1591-12-31; B. 1594-01-01|1594-12-31/1594-01-01|1594-12-31; B. 1596-01-01|1596-12-31/1597-01-01|1597-12-31; B. 1601-01-01|1601-12-31/1602-01-01|1602-12-31; B. 1604-01-01|1604-12-31/1605-01-01|1605-12-31; B. 1607-01-01|1607-12-31/1608-01-01|1608-12-31; B. 1610-01-01|1610-12-31/1610-01-01|1610-12-31,"049 - dl. 1, p. 147 ",,1547,1547-01-01/1547-12-31,,,1626,1626-01-01/1626-12-31,,,Anna Jacobsdr Blaeu,Anna Jacobsdr Blaeu (?),,,,"Nieuwendijk (1585 NZ W. 1), Singel (1600)",,"koopman, vrn. in haring, olie en granen",030 (NZ f. 18),,,,,,liet verm na van 321.700,Q1133564
72,,Dirck,Thymansz,Brouwer,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 25),S. 45,,,"1578 - kap. W. 9 1578, kap. in/voor 1592",kap. W. IX 1578-01-01|1578-12-31/1578-01-01|1578-12-31; kap. ? ?|?/?|1592-12-31,,,_,,,,,,,,,,,,,,,"Rokin (1585 NZ W. 5), in de Duijf",,koopman en brouwer,020 (NZ f. 199),,,,,,,
73,,Hans,van,Nes,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 26),S. 45,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,"familiewapen wijkt af t.o.v. Hans van Nes op SA 3018 (Colijns f. 29, nr. 8)",
74,,Cornelis ,Symonsz,Joncheyn,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 27),S. 45,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
75,,Jan,Philipsz de,Bisschop,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 29),S. 45,,,1585 - kap. W. IX [= NZ W. IV],kap. W. IX 1585-01-01|1585-12-31/1585-01-01|1585-12-31,1578-1614 C.E.; 1584-1623 R.; …,C.E. 1578-01-01|1578-12-31/1614-01-01|1614-12-31; R. 1584-01-01|1584-12-31/1623-01-01|1623-12-31,"048 - dl. 1, p. 146 ",,ca. 1555,1553-01-01/1557-12-31,,,1623,1623-01-01/1623-12-31,,,"Emmetgen Dircksdr (1579), Lijsbeth Hermansdr (1586)",Emmetgen Dircksdr (1579); Lijsbeth Hermansdr (1586),,,,"aan 't Kerkhof NK (1585 NZ W. 4), Damrak (1591)",,koopman,015 (NZ f. 168),,,,,,liet verm na v. 120.000,
76,,Heindrick,Laurensz,Spiegel,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 31),S. 45,,,,,,,"dl. 1, p. 89 ?",,1549,1549-01-01/1549-12-31,,,1612,1612-01-01/1612-12-31,,,"Brechtgen ten Berch, Dieuwer Jansdr van Marcken",Brechtgen ten Berch (?); Dieuwer Jansdr van Marcken (?),1602-07-27 (2),1602-07-27 (2),,Nieuwendijk (1585 NZ W. 3) Singel 140-142,,koopman en letterkundige,035 (NZ f. 102),,,,,,,
77,,Pieter,Dircksz,Hasselaer,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 01)",S. 44,,,1600 - kap. 1600 ca.,kap. ? 1598-01-01|1598-12-31/1602-01-01|1602-12-31,1594-1616 R.; 1595 Sch.,R. 1594-01-01|1594-12-31/1616-01-01|1616-12-31; Sch. 1595-01-01|1595-12-31/1595-01-01|1595-12-31,"064 - dl. 1, p. 205 ","JbA 105 (2013), p. 98 n. 90",1554,1554-01-01/1554-12-31,,,1616,1616-01-01/1616-12-31,Amsterdam,"DTB 1044, p.14vo en p.15 OK, 31-8-1616",Aecht Pietersdr/ Margriet Benningh,Aecht Pietersdr (?); Margriet Benningh (?),? / 1587,? / 1587,"DTB 404, p.255 KERK, 4-4-1587","""Andries Boelenzoons brouwerie"" (1583), Houttuinen (1585 NZ W. 1)",Hervormd,brouwer; koopman; reder,018 (NZ f. 5),,,,,,Hij was bekend om zijn moedig gedrag als vaand. tijdens het beleg van Haarlem. Zijn zoon Pieter Pietersz H. staat op SA 9909 vd Voort 1623 ,Q2094263
78,,Leendert,,Sweers,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 04)",S. 44,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,,,,,,,,,,Nieuwezijds Voorburgwal (1585 NZ W. 3),,procureur,010 (NZ f. 129),,,,,,,
79,,Cornelis ,,Schellings,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 07)",S. 44,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,,,,,,,,,,,,,_,,,,,,,
80,,Jan,,Ernst van Bassen,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 08)",S. 44,,,,,,,"dl. 1, p. 304 ( en 281?)","JbA 105 (2013), p. 98 n. 90",1555 ca.,1553-01-01/1557-12-31,,,na 1602,1603-01-01/?,,,Fijtge (later Sophia) Coenen,Fijtge Sophia Coenen (?),1579-05-30,1579-05-30,,Damrak [nr. 84] (1585 NZ W. 3),,,003 (NZ f. 89) 'wsch. Jan de Wael',,,,,,,
81,,Jacob,Pietersz,Rotgans,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 09)",S. 44,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,1590,1590-01-01/1590-12-31,,,,,,,,Nieuwendijk [nr. 35] (1585 NZ W. 1),,,_,,,,,,,
82,,Pieter,Jansz,Brugman,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 10)",S. 44,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,1608,1608-01-01/1608-12-31,,,,,,,,"Nieuwendijk, in 'het Groene Laken' [nr. 135] (1585 NZ W. 2)",,,_,,,,,,,
83,,Balthasar,,Bouwer,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 12)",S. 44,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",1560,1560-01-01/1560-12-31,,,voor 1619,?/1618-12-31,,,,,,,,"Warmoesstraat, in 'de Silveren Bergh' [nr. 88] (1585 OZ W. 3)",,,_,,,,,,,
84,,Jacob ,Theeusz,Blocq,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 14)",S. 44,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,1594,1594-01-01/1594-12-31,,,,,,,,Nieuwendijk [nr. 123] (1585 NZ W. 2),,blokemaker,_,,,,,,,
85,,Hendrick,,Servaes,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 15)",S. 44,1604 - Bwh 1604-1631,Bwh 1604-01-01|1604-12-31/1631-01-01|1631-12-31,,,,,"dl. 1, p. 95","JbA 105 (2013), p. 98 n. 90",1559,1559-01-01/1559-12-31,,,1642,1642-01-01/1642-12-31,,,"Aeltgen Jansdr Huydecoper, Maritgen Laurensdr Ringh",Aeltgen Jansdr Huydecoper (?); Maritgen Laurensdr Ringh (?),,,,"Nieuwendjk, in 'de Ooievaer' [nr. 198] (1585 NZ W. 3), NZ Voorburgwal",,lakenkoper en caffawerker,006 (NZ f. 105),036.000 (f. 46r) - 180,,,,,"Liet verm. Na van 164.800. Ook geportretteerd door P. Pietersz op de Waardijns der lakenen (1599), Rijksmuseum, SK-A-865",
86,,Philips ,Pietersz,Bruyning,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 16)",S. 44,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,ca. 1601,1599-01-01/1603-12-31,,,,,,,,Damrak [nr. 29] (1585 NZ W. 2),,koopman,030 (NZ f. 43),,,,,,,
87,,Balthasar,,Jacott,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 17)",S. 44,,,,,,,"dl. 1, p. 505","JbA 105 (2013), p. 98 n. 90",1558,1558-01-01/1558-12-31,Antwerpen,,1614,1614-01-01/1614-12-31,Amsterdam,,,,,,,"Warmoesstraat, in 'Sint Jacob' [nr. 111] (1585 OZ W. 3)",,lakenkoper,020 (OZ f. 37),,,,,,,
88,,Cornelis,de,Gouda,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 18)",S. 44,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,,,,,,,,,,Warmoesstraat [nr. 148] (1585 OZ W. 2),,procureur,010 (OZ f. 22),,,,,,,
89,,Pieter ,Adriaensz van,Wijckersloot,M,"1586 - S. 44 - P. Pietersz (Colijns RPK, nr. 19)",S. 44,1588 Gh,Gh 1588-01-01|1588-12-31/1588-01-01|1588-12-31,,,,,"dl. 1, p. 239 ?","JbA 105 (2013), p. 98 n. 90",,,,,1614,1614-01-01/1614-12-31,,,Marijtge Adriaensdr Boom,Marijtge Adriaensdr Boom (?),,,,Damrak ,,,_,,,,,,,
90,,Egbert,Pietersz,Vinck,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 01)",S. 46,1578 - km. N.K. 1578; SJh 1592-1597; Sph 1596,km. N.K. 1578-01-01|1578-12-31/1578-01-01|1578-12-31; SJh 1592-01-01|1592-12-31/1597-01-01|1597-12-31; Sph 1596-01-01|1596-12-31/1596-01-01|1596-12-31,1586 - kap. 1586,kap. ? 1586-01-01|1586-12-31/1586-01-01|1586-12-31,1582 Sch.,Sch. 1582-01-01|1582-12-31/1582-01-01|1582-12-31,"dl. 1, p. 321",,1536,1536-01-01/1536-12-31,,,1610,1610-01-01/1610-12-31,,,"Brecht Pietersdr, Trijn Rutten",Brecht Pietersdr (?); Trijn Rutten (?),,,,Nieuwendijk (1585 NZ W. 1),,haringkoper,020 (NZ f. 18),,,,,,,
91,,Pieter,Willemsz,Vriendt,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 02)",S. 46,1601 - Rh 1601,Rh 1601-01-01|1601-12-31/1601-01-01|1601-12-31,1578 Hb - luit. 1586?,? Hd 1578-01-01|1578-12-31/1578-01-01|1578-12-31; luit. ? 1586-01-01|1586-12-31/1586-01-01|1586-12-31,1578-1606 R.; 1579 Sch.,R. 1578-01-01|1578-12-31/1606-01-01|1606-12-31; Sch. 1579-01-01|1579-12-31/1579-01-01|1579-12-31,"033 - dl. 1, p. 98 ",,1546,1546-01-01/1546-12-31,,,1606,1606-01-01/1606-12-31,,,ongehuwd,,,,,"Dam, OZ Achterburgwal oostzijde (1585 OZ W. 3)",,kruidenier,030 (OZ f. 45),,,,,,,
92,,Arent,Remmersz ,Suyckerbakker,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 03)",S. 46,,,,,,,_,,,,,,,,,,,,,,,,,suikerbakker,_,,,,,,,
93,,Symon,,Abt / Abbe,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 05)",S. 46,,,,,,,_,,,,,,,,,,,,,,,St. Olofspoort (1585 OZ W. 4),,kompasmaker,004 (OZ f. 57),,,,,,,
94,,Jan,Philipsz de,Bisschop,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 06)",S. 46,,,1585 - kap. W. IX [= NZ W. IV],kap. W. IX 1585-01-01|1585-12-31/1585-01-01|1585-12-31,1578-1614 C.E.; 1584-1623 R.; …,C.E. 1578-01-01|1578-12-31/1614-01-01|1614-12-31; R. 1584-01-01|1584-12-31/1623-01-01|1623-12-31,"048 - dl. 1, p. 146 ",,ca. 1555,1553-01-01/1557-12-31,,,1623,1623-01-01/1623-12-31,,,"Emmetgen Dircksdr (1579), Lijsbeth Hermansdr (1586)",Emmetgen Dircksdr (1579); Lijsbeth Hermansdr (1586),,,,"aan 't Kerkhof (1585 NZ W. 4), Damrak (1591)",,"koopman, na Alteratie accijnsmeester",015 (NZ f. 168),,,,,,,
95,,Jaques,,Razet,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 09)",S. 46,,,,,,,_,,,,,,,,,,,,,,,OZ Kerkhof (OZ W. 3),,notaris,003 (OZ f. 43),,,,,,,
96,,Evert,,Jacobsz,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 10)",S. 46,1574 - NZHh 1574; km. S.J.K.,NZHh 1574-01-01|1574-12-31/1574-01-01|1574-12-31,,,,,"dl. 1, p. 53 ?",,,,,,1595?,1595-01-01/1595-12-31,,,Trijn Jansdr,Trijn Jansdr (?),,,,Nieuwendijk (NZ W. 2),,koperslager,030 (NZ f. 53),,,,,,,
97,,Claas,Dirxsz,Blaeu,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 11)",S. 46,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
98,,Pieter ,Dircksz,Santvoort,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 12)",S. 46,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
99,,Pelgrom,Cornelisz van,Dronckelaer,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 15)",S. 46,1586-1625 OMVh.,OMVGh 1586-01-01|1586-12-31/1625-01-01|1625-12-31,,,,,"dl. 1, p. 451",,1554,1554-01-01/1554-12-31,Amersfoort,,1620-09-01,1620-09-01,,,Reymerich Jaspersdr Appelman,Reymerich Jaspersdr Appelman (?),,,,"Kalverstraat oostzijde, bij de Dam (1585 NZ W. 4), Nieuwendijk bij de Plaetse, naast 'de Papegay' (1587 NZ W. 4), OZ Achterburgwal",,koopman,020 (NZ f. 220),,,,,,,
100,,Heindrik ,D.,Steenooven,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 19)",S. 46,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
101,,Cornelis ,Arentsz,Waafel,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 24)",S. 46,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
102,,Hereman,,Claesz,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 26)",S. 46,,,doelenknecht,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
103,,Dirk ,Thonisz,Martelaer,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 27)",S. 46,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
104,,Gerret,,Backer,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 29)",S. 46,,,,,,,"dl. 1, p. 239?",,,,,,1593,1593-01-01/1593-12-31,Amsterdam,,ongehuwd,,,,,,,,_,,,,,,,
105,,Cornelis ,van,Kampen,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 31)",S. 46,,,,,,,"dl. 1, p. 85?",,1564,1564-01-01/1564-12-31,,,1636,1636-01-01/1636-12-31,,,Catharina Queeckel,Catharina Queeckel (?),1602-10-17,1602-10-17,,Warmoesstraat (OZ),,handelaar,_,1125 (f. 168v) ,,,,,Queeckel liet verm na van 266.000,
106,,Roemer,,Visscher,M,"1586 - S. 46 - D. Barendsz (Colijns f. 35, nr. 7)",S. 46,,,,,,,"dl. 1, p.87 ?",,1547,1547-01-01/1547-12-31,,,1620,1620-01-01/1620-12-31,,,Aefgen Jansdr,Aefgen Jansdr (?),1583-02-16,1583-02-16,,"OZ Kolk (1585 OZ W. 4), Gelderse Kade (1594)",,graankoper en letterkundige,018 (OZ f. 70),,,,,,,Q2384352
107,,Willem,van der,Does,M,1588 - S. 48 - J. Lenartsz? Kd,S. 48,,,,,scht. 1571-1624,S. 1571-01-01|1571-12-31/1624-01-01|1624-12-31,_,,1547-09-06,1547-09-06,Harlingen,,1624-12-05,1624-12-05,Amsterdam,,Maria Govertsdr Glimmer,Maria Govertsdr Glimmer (?),,,,,,,_,,,,,,,
108,,Dirck,Jacobsz,Rosecrans,M,"1588 - S. 49 - Ketel Vd, nr. 1",S. 49,1583 - km. O.K. 1583,km. O.K. 1583-01-01|1583-12-31/1583-01-01|1583-12-31,1584 - kap. 1588,kap. ? 1588-01-01|1588-12-31/1588-01-01|1588-12-31,1589-1603 CKZ,C.K.Z. 1589-01-01|1589-12-31/1603-01-01|1603-12-31,"dl. 1, p. 287",,ca. 1540,1538-01-01/1542-12-31,,,in of na 1603 (Bayes komt in 1610 als wed voor),1603-01-01/?,,,Catharina Hermansdr Bayes,Catharina Hermansdr Bayes (?),,,,Warmoesstraat (1585 OZ W. 4),,koopman,025 (OZ f. 61),,,,,,,
109,Ridder,Reynier,Adriaensz,Pauw,M,"1588 - S. 49 - Ketel Vd, nr. 2 (voornaam onzeker)",S. 49,1592 - km. O.K. 1592,km. O.K. 1592-01-01|1592-12-31/1592-01-01|1592-12-31,1583 - overm. Vd 1583; luit. 1588,overm. Vd 1583-01-01|1583-12-31/1583-01-01|1583-12-31; luit. ? 1588-01-01|1588-12-31/1588-01-01|1588-12-31,"1590, … Sch.; 1591-1636 R.; …; 1605, 09, 11, 14, 16, 17, 19, 20 B.",Sch. 1590-01-01|1590-12-31/1590-01-01|1590-12-31; R. 1591-01-01|1591-12-31/1636-01-01|1636-12-31; B. 1605-01-01|1605-12-31/1605-01-01|1605-12-31; B. 1609-01-01|1609-12-31/1609-01-01|1609-12-31; B. 1611-01-01|1611-12-31/1611-01-01|1611-12-31; B. 1614-01-01|1614-12-31/1614-01-01|1614-12-31; B. 1616-01-01|1616-12-31/1617-01-01|1617-12-31; B. 1619-01-01|1619-12-31/1620-01-01|1620-12-31,"061 - dl. 1, p. 191 ","2007, p. 78",1564,1564-01-01/1564-12-31,,,1636,1636-01-01/1636-12-31,,,"Cornelia Michielsdr de Lange, Elbrich Jansdr",Cornelia Michielsdr de Lange (?); Elbrich Jansdr (?),,,,"Warmoesstraat [nr. 14] (1585 OZ W. 3, 1594)",,koopman en reder,018 (OZ f. 39),200.000 (f. 2v) - 1000,,,,,,
110,,Dominicus,van,Heemskerck,M,"1588 - S. 49 - Ketel Vd, nr. 3 (onzeker)",S. 49,,,,,,,,,1570,1570-01-01/1570-12-31,,,1624,1624-01-01/1624-12-31,,,,,,,,"Warmoesstraat [nr. 48], het Moriaenshooft (1585 OZ W. 4)",,,036 (OZ f. 54) NB: betr. vader Claes Symonsz H.,,,,,,,Q57151453
111,,Dirck,Thymansz,Brouwer,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 01)",S. 50,,,"1578 - kap. W. 9 1578, kap. in/voor 1592",kap. W. IX 1578-01-01|1578-12-31/1578-01-01|1578-12-31; kap. ? ?|?/?|1592-12-31,,,,,,,,,,,,,,,,,,"Rokin, in de Duijf (1585 NZ W. 5)",,koopman en brouwer,020 (NZ f. 199),,,,,,,
112,,Ryckert,Crynen,Ouwerogh,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 02)",S. 50,,,1590 - luit. in/voor 1592,luit. ? ?|?/?|1592-12-31,,,_,,,,,,1594-06-16,1594-06-16,Amsterdam,,Lysbeth Claes Groven (?-1595),Lysbeth Claes Groven (?),,,,"NZ Burgwal, oostzijde (1585 NZ W. 5)",,huidenkoper,020 (NZ f. 260) [Quirijnsz],,,,,,"Zie de online publicatie (s.a.), L.F.W. Adriaenssen, Ouderogge in lakens, zout, schevinken, kanonnen en wijn. Een katholieke ondernemersfamilie in Holland (1506-1769)",
113,,Pieter,Jacobsz,Bas,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 03)",S. 50,1601 - km. O.K. 1601; A. A. 1625-1627,km. O.K. 1601-01-01|1601-12-31/1601-01-01|1601-12-31; A.A. 1625-01-01|1625-12-31/1627-01-01|1627-12-31,"1590 - vaand. in/voor 1592, luit. 1599, kap. W. XX 1620-30",vaand. ? ?|1592-12-31/1592-01-01|1592-12-31; luit. ? 1599-01-01|1599-12-31/1599-01-01|1599-12-31; kap. W. XX 1620-01-01|1620-12-31/1630-01-01|1630-12-31,1594 Sch.,Sch. 1594-01-01|1594-12-31/1594-01-01|1594-12-31,"dl. 1, p. 249",,1566,1566-01-01/1566-12-31,Emden,,1633,1633-01-01/1633-12-31,,,Maria Coerten Overlander,Maria Coerten Overlander (?),16 februari 1592,16 februari 1592,,"Rokin (Jacob Bas - 1585 NZ W. 5), Herengracht",,graanhandelaar en koopman,046 (NZ f. 198) NB: betr. vader Jacob Bas,080.000 (fol. 5v) - 400,,,,,,
114,,Gillis,,Stokman,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 04)",S. 50,,,,,,,_,,,,,,,,,,,,,,,,,,_,_,,,,,,
115,,Reinier,Reiniersz,Klaas,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 11)",S. 50,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
116,,Cornelis,Sybrantsz,Appelman,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 13)",S. 50,,,,,,,_,,,,,,,,,,,,,,,,,,_,_,,,,,,
117,,Kornelis ,,Krijnen,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 22)",S. 50,,,,,,,_,,,,,,,,,,,,,,,,,,_,2000  (f. 269r) ? - 10,,,,,,
118,,Klaes ,Thymansz,Visscher,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 23)",S. 50,,,,,,,_,,,,,,,,,,,,,,,,,visser?,_,_,,,,,,
119,,Jacob ,Henricxsz,Smit,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 24)",S. 50,,,,,,,,,,,,,,,,,Griete Claesdr,Griete Claesdr (?),,,,Rokin (1585 NZ W. 5),,olieslager,004 (NZ f.204),,,,,,,
120,,Tobias ,,Martsz,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 26)",S. 50,,,,,,,_,,,,,,,,,,,,,,,Rokin (1585 NZ W. 5),,,006 (NZ f. 200),,,,,,,
121,,Claes  ,,Garbrantsz,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 28)",S. 50,,,,,,,_,,,,,,,,,,,,,,,Kalverstraat oostzijde (1585 NZ W. 5),,leidekker?,002 (NZ f. 219),,,,,,,
122,,Jacob,,Cornelisz,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 30)",S. 50,,,,,"1570, 72, 73 B.",B. 1570-01-01|1570-12-31/1570-01-01|1570-12-31; B. 1572-01-01|1572-12-31/1573-01-01|1573-12-31,_,,,,,,,,,,,,,,,,,,?,,,,,,,
123,,Arent ,,Willemsz,M,"1592 in/voor - S. 50 - Conflans Hd SA 7303 (Colijns f. 13, nr. 32) (Colijns f. 13)",S. 50,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
